video,width,height,fps,frame_count,duration_sec,passed_screen,target_ts_sec,used_ts_sec,image,status,message
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0278.MP4,1920.0,1080.0,23.976023976023978,16712.0,697.03,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0278_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0279.MP4,1920.0,1080.0,23.976023976023978,27658.0,1153.569,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0279_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0280.MP4,1920.0,1080.0,23.976023976023978,29508.0,1230.729,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0280_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0281.MP4,1920.0,1080.0,23.976023976023978,27506.0,1147.229,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0281_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0282.MP4,1920.0,1080.0,23.976023976023978,22318.0,930.847,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0282_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0283.MP4,1920.0,1080.0,23.976023976023978,22685.0,946.154,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0283_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0284.MP4,1920.0,1080.0,23.976023976023978,22767.0,949.574,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0284_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0285.MP4,1920.0,1080.0,23.976023976023978,23128.0,964.63,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0285_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0286.MP4,1920.0,1080.0,23.976023976023978,22415.0,934.892,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0286_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0287.MP4,1920.0,1080.0,23.976023976023978,22326.0,931.18,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0287_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0288.MP4,1920.0,1080.0,23.976023976023978,22325.0,931.139,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0288_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0289.MP4,1920.0,1080.0,23.976023976023978,22326.0,931.18,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0289_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0290.MP4,1920.0,1080.0,23.976023976023978,22325.0,931.139,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0290_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0291.MP4,1920.0,1080.0,23.976023976023978,22326.0,931.18,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0291_t300.000s.jpg,ok,
/media/zekai/Expansion/Experiment data CHAO_MAI/2025_8_26/DJI/DJI_0292.MP4,1920.0,1080.0,23.976023976023978,22330.0,931.347,True,300.0,300.0,/home/zekai/Data/AQ/Label_prepare/2025_8_26/DJI/DJI_0292_t300.000s.jpg,ok,
